growth,coefGT,sma_dif,dif_high,dif_low,dif_open,zone_interval,dif_prev_close,dif_bid_ask,zone_size,RSI,MACD,volatility,SP_MA_dif,correlSP,sp_open_dif,sp_dif_high,sp_dif_low,winloss,ask,symbol,alertTime,sellTime,sellPrice
1.39,2.9043,0.91017,1.399936367,0.201912859,-0.799579169,79,-0.136583316,0.095541401,0.06370103,29.38289376,-0.103176298,0.199,0.012179794,0.220154878,-0.081760728,0.161443705,0.048677951,1,94.29,SIG   ,12/21/2016 11:19,12/21/2016 12:26,94.81
0.53,0.9044,0.32597,0.58323824,0.266971777,-0.290771176,97,0.278904665,0.088832487,0.025400051,23.99613835,-0.067139079,0.082,0.013632863,0.077741271,-0.030936492,0.110521662,0.099568536,0,78.87,KLAC  ,12/21/2016 12:36,12/21/2016 15:59,78.99
0.59,1.4706,0.25566,1.8735363,0.117233294,-1.004636785,66,0.038654813,0.039047247,0,28.08288792,-0.03457524,0.044,-0.008181189,-0.096137203,-0.070711981,0.150369289,0.059741122,-1,25.62,KIM   ,12/21/2016 13:48,12/21/2016 14:05,25.48
0.54,0.8577,0.14233,1.211858905,0.369244136,-0.280535175,104,0.303030303,0.021645022,0.027092929,40.20843979,-0.018609508,0.024,-0.006337715,0.25126705,-0.055243735,0.134869221,0.075229561,-1,46.21,BBBY  ,12/21/2016 14:41,12/21/2016 14:57,45.97
0.71,1.15,0.2687,0.708277999,2.588555858,1.80261379,102,1.695692026,0.04428698,0.044345898,52.26968006,0.002858479,0.009,-0.003979501,-0.064043035,-0.053033986,0.132655317,0.077442195,-1,22.59,COG   ,12/21/2016 14:44,12/21/2016 15:38,22.47
0.66,2.0055,0.21683,0.658122619,1.156271899,0.662482566,54,-0.347463516,0.034650035,0.104166667,41.36350584,-0.014822302,0.039,-0.037031534,0.480239794,-0.09308098,0.146406389,0.102145046,1,28.87,MOS   ,12/22/2016 10:49,12/22/2016 11:59,29.03
0.52,5.4852,0.25319,3.521126761,0.222882615,-2.774774775,15,-0.251617541,0.037078235,0.111441308,49.82889425,0.015723312,0.049,0.011096562,0.208347812,-0.128540402,0.18196343,0.066616334,-1,26.98,FOSL  ,12/22/2016 11:21,12/22/2016 11:31,26.83
0.54,4.5763,0.0996,0.580616347,1.358080579,0.134168157,19,-0.356506239,0.044682752,0.13434841,43.06200683,0.0440317,0.045,-0.064607658,-0.331570829,-0.24378352,0.297698392,0.002221679,-1,22.39,COG   ,12/22/2016 11:42,12/22/2016 13:11,22.27
0.53,0.7872,0.13897,0.555887627,0.293747377,-0.03585086,112,0.017928644,0.017935075,0.059898173,38.17890728,-0.046760301,0.078,-0.069790695,0.438249891,-0.252648376,0.306612158,0,0,167.3,IBM   ,12/22/2016 11:43,12/22/2016 15:59,166.9101
0.53,0.8024,0.29731,0.557448126,0.717404866,0.124031008,110,-0.262873048,0.030978934,0.093124321,33.41824279,-0.011706988,0.038,-0.06299173,-0.010567131,-0.261513231,0.315527509,0.004444247,1,64.58,DVA   ,12/22/2016 11:47,12/22/2016 13:42,64.92
0.61,4.0667,0.32927,2.442215438,0.702678964,0.087298123,25,11.32167153,0.043630017,0.174901618,34.30834456,0.026730268,0.054,0.039901069,0.685377137,-0.16843225,0.221995294,0.133374828,1,22.93,MU    ,12/22/2016 12:51,12/22/2016 13:09,23.05
0.57,1.9487,0.27562,1.076630779,1.3478819,0.381436745,48,0.254939452,0.063371356,0.063451777,42.9505887,-0.010489503,0.015,0.001554198,0.095893557,-0.181729533,0.235346359,0.120037345,-1,15.79,ENDP  ,12/22/2016 13:06,12/22/2016 13:36,15.71
0.54,0.8098,0.24192,4.619599054,0.324797002,-4.41561533,111,-0.047585058,0.062297533,0.040653448,23.10282219,-0.01615427,0.1,-0.011161119,0.579759306,-0.066486415,0.119755167,0.235628862,-1,80.31,DLTR  ,12/22/2016 14:19,12/22/2016 14:42,79.9
1.18,1.6571,0.84979,4.553518628,0.177725118,-2.310803004,118,-0.517241379,0.059171598,0.059241706,34.15333181,-0.007025865,0.026,-0.013231043,0.600576171,-0.070918842,0.124196052,0.231183035,-1,16.91,ATI   ,12/22/2016 14:22,12/22/2016 14:33,16.82
0.8,2.2266,0.30409,0.796217965,0.500125031,0.374625375,59,-0.074868979,0.024888004,0.024925224,30.81400745,-0.042415358,0.064,-0.008131584,0.129631812,0.008872327,0.079843861,0.031060035,0,40.19,HOLX  ,12/23/2016 10:49,12/23/2016 15:59,40.33
0.6,1.8111,0.25397,0.617168506,2.41333078,2.41333078,55,0.345954257,0.037418148,0.018723086,35.32952266,-0.000443945,0.08,0.019003914,-0.759696639,0.006654245,0.082063566,0.095462215,1,53.47,MNK   ,12/23/2016 12:03,12/23/2016 12:25,53.76
0.96,2.5424,0.54946,1.023255814,0.436001246,0.18639329,62,-0.340557276,0.03101737,0.093225606,33.27044027,0.011653549,0.024,0.007319881,0.179144907,0.004436164,0.08428337,0.093242163,0,32.25,MUR   ,12/23/2016 12:27,12/23/2016 15:59,32.3
0.98,5.2802,0.21329,1.005684303,0.92674316,0.704535447,30,0.575730735,0.043744532,0.175438596,49.5329713,0.053031834,0.077,0.026772659,0.901563862,0.292035398,0.030883261,0.292035398,-1,22.87,GPS   ,12/27/2016 10:12,12/27/2016 10:23,22.75
0.52,1.1799,0.17263,0.691539315,0.22246941,-0.195978187,73,0.376325693,0.059798394,0.085565158,44.11736705,-0.075780515,0.085,-0.007649736,0.461088822,0.252212389,0.070618352,0.252212389,0,117.13,INTU  ,12/27/2016 10:55,12/27/2016 15:59,116.87
0.5,0.8949,0.30252,0.501113586,0.428704567,0.18594273,93,0,0.018563208,0,26.95191487,-0.004458639,0.042,-0.005149217,0.762747792,0.247787611,0.075035311,0.247787611,0,53.88,ZTS   ,12/27/2016 11:09,12/27/2016 15:59,53.705
0.63,2.8277,0.19937,0.971786834,0.282929896,-0.031338139,37,0.409062303,0.031357792,0.094250707,41.40941701,-0.071352557,0.074,-0.009756444,-0.715130293,-0.494284832,0.496740143,0.062131097,-1,31.9,WMB   ,12/28/2016 10:25,12/28/2016 10:30,31.7
0.81,2.131,0.30229,1.181525242,0.199876999,-1.04767689,63,0,0.076781327,0.038429022,29.27635514,-0.087377079,0.101,0.00384397,0.247480374,-0.494284832,0.496740143,0.062131097,0,65.17,HCN   ,12/28/2016 11:01,12/28/2016 15:59,65.42
0.64,1.5429,0.17574,1.361702128,0.255972696,-1.3434089,69,0.336983993,0.042571307,0.085287846,39.38017954,0.001018445,0.011,0.04465157,0.899015812,-0.458978772,0.461095101,0.09763458,-1,23.5,HPE   ,12/28/2016 11:12,12/28/2016 12:15,23.38
0.69,2.881,0.25823,1.360381862,0.624399616,-1.155933003,39,0.283889283,0.023872046,0.047824008,33.99541696,0.018605476,0.082,-0.001329534,0.744002462,-0.419259455,0.421024641,0.137576,-1,41.9,NFX   ,12/28/2016 11:48,12/28/2016 12:15,41.67
0.51,1.3313,0.24616,1.78011437,0.26819569,-1.346678799,63,0.79794552,0.018450185,0.009237022,35.97105969,-0.0515569,0.099,-0.089456473,0.85598735,-0.516351119,0.519031142,0.039941419,-1,108.42,LRCX  ,12/28/2016 11:59,12/28/2016 15:18,107.81
0.52,1.2452,0.29844,0.697847068,0.297840655,-0.42874039,69,0.07397544,0.074294205,0.029739777,31.58089092,-0.044361706,0.076,-0.162774872,0.407422207,-0.613442782,0.61722913,0.013323267,-1,67.35,LNC   ,12/28/2016 12:03,12/28/2016 12:45,67.01
0.65,0.8847,0.22151,1.283809049,0.325121921,-1.036141606,122,-0.012333498,0.024934547,0.037462537,32.19939877,-0.092837129,0.081,-0.110597821,0.689365583,-0.882651485,0.890511599,0,0,80.23,EA    ,12/28/2016 12:47,12/28/2016 15:59,80.395
0.5,4.4053,0.19768,0.723528593,0.265066964,-0.013912076,18,-0.208246564,0.111436133,0.027874564,47.32527212,0.083029181,0.139,-0.040662834,0.17262839,0.022274691,0.164796009,0.057934846,0,71.87,SNI   ,12/29/2016 10:09,12/29/2016 15:59,71.835
